Sales Person,Geography,Product,Date,Sales,Boxes
Rafaelita Blaksland,UK  ,Smooth Silky Salty,1/2/2023,"$1,600 ",99
Van Tuxwell,USA   ,Fruit & Nut Bars,1/2/2023,"$5,236 ",1077
Rafaelita Blaksland,New Zealand   ,50% Dark Bites,1/2/2023,"$7,587 ",625
Karlen McCaffrey,Canada  ,Smooth Silky Salty,1/2/2023,"$1,548 ",295
Brien Boise,UK  ,99% Dark & Pure,1/2/2023,"$11,594 ",249
Dotty Strutley,Australia,Orange Choco,1/2/2023,"$4,165 ",150
Husein Augar,USA ,Organic Choco Syrup,1/2/2023,"$11,185 ",742
Roddy Speechley,Canada  ,Organic Choco Syrup,1/2/2023,"$9,230 ",441
Madelene Upcott,New Zealand,White Choc,1/2/2023,"$4,748 ",95
Madelene Upcott,USA,Orange Choco,1/2/2023,"$5,229 ",368
Madelene Upcott,Canada ,Raspberry Choco,1/2/2023,"$6,719 ",200
Rafaelita Blaksland,India   ,After Nines,1/2/2023,"$2,477 ",325
Beverie Moffet,USA   ,Orange Choco,1/2/2023,"$10,321 ",882
Van Tuxwell,UK   ,99% Dark & Pure,1/2/2023,"$9,236 ",387
Andria Kimpton,Australia  ,Spicy Special Slims,1/2/2023,"$4,516 ",219
Rafaelita Blaksland,USA   ,Spicy Special Slims,1/2/2023,$630 ,103
Van Tuxwell,Australia  ,Milk Bars,1/2/2023,"$12,704 ",72
Curtice Advani,USA   ,Mint Chip Choco,1/2/2023,"$5,283 ",704
Barr Faughny,USA  ,Baker's Choco Chips,1/2/2023,"$2,995 ",474
Oby Sorrel,Canada   ,Fruit & Nut Bars,1/2/2023,"$2,941 ",665
Van Tuxwell,Canada,Organic Choco Syrup,1/2/2023,"$9,128 ",382
Jan Morforth,New Zealand  ,Choco Coated Almonds,1/2/2023,"$5,357 ",337
Mallorie Waber,New Zealand ,Peanut Butter Cubes,1/2/2023,"$3,884 ",335
Barr Faughny,Australia,Milk Bars,1/2/2023,"$6,338 ",109
Roddy Speechley,India ,Baker's Choco Chips,1/2/2023,"$6,674 ",381
Mallorie Waber,UK ,Raspberry Choco,2/2/2023,"$1,546 ",213
Camilla Castle,USA   ,Choco Coated Almonds,2/2/2023,"$5,497 ",65
Beverie Moffet,Canada   ,Almond Choco,2/2/2023,"$7,538 ",232
Ches Bonnell,Canada,After Nines,2/2/2023,"$14,105 ",628
Camilla Castle,Australia,Caramel Stuffed Bars,2/2/2023,"$1,557 ",378
Camilla Castle,USA   ,Mint Chip Choco,2/2/2023,$662 ,268
Madelene Upcott,USA ,99% Dark & Pure,2/2/2023,"$6,534 ",620
Dotty Strutley,Canada ,70% Dark Bites,2/2/2023,"$7,171 ",13
Camilla Castle,Canada   ,Manuka Honey Choco,2/2/2023,$344 ,28
Curtice Advani,New Zealand,Smooth Silky Salty,2/2/2023,"$13,790 ",595
Andria Kimpton,UK  ,Raspberry Choco,2/2/2023,"$4,509 ",788
Van Tuxwell,India,Eclairs,2/2/2023,"$4,808 ",148
Van Tuxwell,New Zealand   ,Almond Choco,2/2/2023,"$10,526 ",585
Karlen McCaffrey,USA   ,Choco Coated Almonds,2/2/2023,"$9,140 ",38
Husein Augar,New Zealand ,Baker's Choco Chips,2/2/2023,"$1,870 ",853
Kelci Walkden,USA ,Manuka Honey Choco,2/2/2023,"$15,665 ",175
Camilla Castle,Canada   ,Smooth Silky Salty,2/2/2023,"$4,061 ",155
Camilla Castle,Canada  ,50% Dark Bites,2/2/2023,"$9,119 ",360
Curtice Advani,New Zealand   ,Choco Coated Almonds,2/2/2023,"$3,787 ",401
Gigi Bohling,UK   ,Drinking Coco,2/2/2023,"$5,654 ",457
Gunar Cockshoot,Canada ,Organic Choco Syrup,2/2/2023,"$7,135 ",333
Kaine Padly,Canada   ,Raspberry Choco,2/2/2023,"$6,266 ",239
Roddy Speechley,Canada  ,Eclairs,2/2/2023,"$3,569 ",390
Madelene Upcott,India ,Almond Choco,2/2/2023,"$1,046 ",3
Brien Boise,India   ,White Choc,2/2/2023,"$4,532 ",808
Curtice Advani,UK   ,99% Dark & Pure,3/2/2023,"$9,493 ",82
Kaine Padly,Australia   ,Baker's Choco Chips,3/2/2023,"$3,474 ",390
Kaine Padly,Canada  ,85% Dark Bars,3/2/2023,"$5,018 ",69
Brien Boise,India,Fruit & Nut Bars,3/2/2023,"$9,252 ",841
Gigi Bohling,Canada,50% Dark Bites,3/2/2023,"$3,089 ",331
Kelci Walkden,UK   ,Almond Choco,3/2/2023,"$3,771 ",243
Oby Sorrel,India ,Manuka Honey Choco,3/2/2023,"$6,149 ",249
Curtice Advani,UK,Eclairs,3/2/2023,"$4,757 ",180
Ches Bonnell,USA  ,Fruit & Nut Bars,3/2/2023,$497 ,653
Mallorie Waber,UK   ,Spicy Special Slims,3/2/2023,"$7,013 ",141
Andria Kimpton,USA ,Drinking Coco,6/2/2023,"$7,268 ",743
Van Tuxwell,USA  ,Peanut Butter Cubes,6/2/2023,"$5,175 ",181
Husein Augar,UK ,Manuka Honey Choco,6/2/2023,"$12,506 ",118
Dotty Strutley,Canada  ,Caramel Stuffed Bars,6/2/2023,"$3,051 ",363
Beverie Moffet,India,Peanut Butter Cubes,6/2/2023,"$7,567 ",532
Jehu Rudeforth,Canada,Choco Coated Almonds,6/2/2023,"$2,747 ",110
Dotty Strutley,USA   ,White Choc,6/2/2023,"$6,966 ",172
Camilla Castle,Canada   ,Caramel Stuffed Bars,6/2/2023,"$2,599 ",256
Jehu Rudeforth,Canada  ,Spicy Special Slims,6/2/2023,"$1,256 ",184
Wilone O'Kielt,India,Drinking Coco,6/2/2023,"$4,997 ",361
Dotty Strutley,India  ,White Choc,6/2/2023,"$4,106 ",819
Dotty Strutley,India ,Fruit & Nut Bars,6/2/2023,"$12,670 ",552
Dotty Strutley,Canada,Fruit & Nut Bars,6/2/2023,"$5,002 ",1123
Kaine Padly,USA  ,White Choc,6/2/2023,"$8,519 ",278
Beverie Moffet,New Zealand ,Organic Choco Syrup,6/2/2023,"$19,420 ",200
Dennison Crosswaite,New Zealand  ,Eclairs,6/2/2023,"$5,927 ",292
Ches Bonnell,USA,Caramel Stuffed Bars,6/2/2023,"$7,218 ",254
Dotty Strutley,UK ,Smooth Silky Salty,6/2/2023,"$2,383 ",140
Oby Sorrel,India,Eclairs,6/2/2023,"$5,690 ",78
Madelene Upcott,UK,Milk Bars,6/2/2023,"$2,365 ",316
Beverie Moffet,Canada,Choco Coated Almonds,6/2/2023,"$8,019 ",71
Kelci Walkden,India,Spicy Special Slims,6/2/2023,"$2,428 ",160
Madelene Upcott,Australia  ,Smooth Silky Salty,6/2/2023,$974 ,69
Mallorie Waber,Canada   ,85% Dark Bars,6/2/2023,"$4,340 ",247
Rafaelita Blaksland,USA  ,70% Dark Bites,6/2/2023,"$2,858 ",127
Jehu Rudeforth,Australia  ,Mint Chip Choco,6/2/2023,"$2,439 ",880
Dotty Strutley,UK  ,White Choc,6/2/2023,"$7,083 ",201
Kelci Walkden,Australia,Smooth Silky Salty,6/2/2023,"$1,537 ",669
Mallorie Waber,USA  ,Milk Bars,6/2/2023,"$3,384 ",303
Andria Kimpton,UK  ,50% Dark Bites,6/2/2023,"$4,338 ",529
Gunar Cockshoot,Canada  ,Peanut Butter Cubes,6/2/2023,"$9,081 ",32
Oby Sorrel,Australia  ,After Nines,6/2/2023,"$8,222 ",554
Van Tuxwell,Australia  ,Caramel Stuffed Bars,6/2/2023,"$15,581 ",406
